,xd_id,measurement_tstamp,measurement_tstamp_str,speed,average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue,congestion,extreme_congestion,tstamp,ts,AccXDSegID,type
0,1524561242,2020-10-28 19:55:00,2020-10-29 00:55:00,59.16,52.0,52.0,22.71,30.0,100.00,0.0,0.0,1603932900,1603932900,1524561242,1.0
1,1524632715,2020-10-03 19:40:00,2020-10-04 00:40:00,70.59,62.0,62.0,6.3,30.0,100.00,0.0,0.0,1601772000,1601772000,1524632715,1.0
2,1524581409,2020-10-28 20:05:00,2020-10-29 01:05:00,70.37,67.0,67.0,27.95,30.0,100.00,0.0,0.0,1603933500,1603933500,1524581409,1.0
3,1524389631,2020-10-29 08:30:00,2020-10-29 13:30:00,56.19,37.0,54.0,32.1,30.0,96.00,0.0,0.0,1603978200,1603978200,1524389631,1.0
4,1524495796,2020-10-03 10:20:00,2020-10-03 15:20:00,68.95,67.0,66.0,34.2,30.0,100.00,0.0,0.0,1601738400,1601738400,1524495796,1.0
5,1524493512,2020-10-06 14:30:00,2020-10-06 19:30:00,55.59,57.0,57.0,46.58,30.0,100.00,0.0247368421052631,0.0247368421052631,1602012600,1602012600,1524493512,1.0
6,1524395198,2020-10-06 16:00:00,2020-10-06 21:00:00,67.57,65.0,65.0,24.31,30.0,100.00,0.0,0.0,1602018000,1602018000,1524395198,1.0
7,1524632668,2020-10-03 19:00:00,2020-10-04 00:00:00,64.59,59.0,59.0,34.66,30.0,100.00,0.0,0.0,1601769600,1601769600,1524632668,1.0
8,1524313621,2020-10-01 09:35:00,2020-10-01 14:35:00,70.18,65.0,65.0,28.84,30.0,100.00,0.0,0.0,1601562900,1601562900,1524313621,1.0
9,1524394555,2020-10-06 08:50:00,2020-10-06 13:50:00,65.76,61.0,61.0,40.64,30.0,100.00,0.0,0.0,1601992200,1601992200,1524394555,1.0
10,1524563590,2020-10-15 19:40:00,2020-10-16 00:40:00,65.0,66.0,66.0,27.43,30.0,100.00,0.015151515151515152,0.015151515151515152,1602808800,1602808800,1524563590,1.0
11,1524571671,2020-10-29 18:55:00,2020-10-29 23:55:00,18.18,60.0,60.0,122.2,30.0,88.00,0.697,0.697,1604015700,1604015700,1524571671,1.0
12,1524497503,2020-10-06 14:15:00,2020-10-06 19:15:00,62.59,50.0,50.0,41.67,30.0,100.00,0.0,0.0,1602011700,1602011700,1524497503,1.0
